Fri May  5 16:38:17 2023    oldoutput.dat

         88164445 function calls (88156347 primitive calls) in 51.921 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000   15.851    0.002   48.915    0.005 C:\Users\clara\PycharmProjects\IntroductoryComputing\hw4.py:18(simulatePI)
 10000000   12.907    0.000   13.557    0.000 C:\Users\clara\PycharmProjects\IntroductoryComputing\hw4.py:15(f)
 20000000    9.333    0.000    9.333    0.000 {method 'random' of 'numpy.random.mtrand.RandomState' objects}
 20000000    8.126    0.000   17.458    0.000 C:\Users\clara\PycharmProjects\IntroductoryComputing\hw4.py:12(uniform)
        1    2.433    2.433    2.611    2.611 {built-in method exec}
 27856414    2.046    0.000    2.046    0.000 {method 'append' of 'list' objects}
 10000252    0.650    0.000    0.650    0.000 {built-in method builtins.abs}
      100    0.147    0.001   49.062    0.491 C:\Users\clara\PycharmProjects\IntroductoryComputing\hw4.py:63(<listcomp>)
      101    0.037    0.000    0.037    0.000 {built-in method builtins.print}
        1    0.035    0.035    0.036    0.036 {built-in method show}
     2293    0.008    0.000    0.009    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:194(set_children)
     1970    0.008    0.000    0.008    0.000 {method 'reduce' of 'numpy.ufunc' objects}
3605/3265    0.008    0.000    0.044    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      495    0.005    0.000    0.007    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\bezier.py:191(__init__)
      105    0.005    0.000    0.015    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
  2618/42    0.005    0.000    0.010    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\copy.py:128(deepcopy)
      495    0.005    0.000    0.008    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\bezier.py:200(__call__)
    22313    0.005    0.000    0.007    0.000 {built-in method builtins.isinstance}
6588/5654    0.005    0.000    0.008    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\artist.py:319(stale)
      100    0.005    0.000    0.006    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\numpy\core\_methods.py:196(_var)
  899/427    0.004    0.000    0.017    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:2436(get_affine)
1472/1470    0.004    0.000    0.019    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\cbook\__init__.py:291(process)
       31    0.004    0.000    0.004    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     1641    0.004    0.000    0.012    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:2347(__init__)
      635    0.004    0.000    0.018    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\artist.py:1180(_update_props)
      345    0.004    0.000    0.038    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\patches.py:742(get_patch_transform)
     5057    0.004    0.000    0.008    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\__init__.py:725(__getitem__)
     2765    0.004    0.000    0.004    0.000 {built-in method numpy.array}
12374/12271    0.004    0.000    0.004    0.000 {built-in method builtins.len}
     8165    0.004    0.000    0.005    0.000 {built-in method builtins.getattr}
        1    0.004    0.004    0.009    0.009 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\backends\backend_qt.py:529(__init__)
     2870    0.003    0.000    0.005    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:1764(__init__)
     1560    0.003    0.000    0.008    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:1881(__init__)
1033/1032    0.003    0.000    0.013    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:1772(__eq__)
       99    0.003    0.000    0.074    0.001 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\axes\_base.py:2384(_update_patch_limits)
     2348    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
     5057    0.003    0.000    0.004    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\__init__.py:674(_get)
      990    0.003    0.000    0.003    0.000 {method 'outer' of 'numpy.ufunc' objects}
      579    0.003    0.000    0.005    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:754(__init__)
     1338    0.003    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\cbook\__init__.py:1994(_setattr_cm)
     1436    0.003    0.000    0.003    0.000 {built-in method numpy.asanyarray}
     2005    0.003    0.000    0.015    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:2503(composite_transform_factory)
      747    0.002    0.000    0.003    0.000 C:\Users\clara\miniconda3\envs\icds\Lib\site-packages\matplotlib\transforms.py:2046(scale)
       26    0.002    0.000    0.002    0.000 {built-in method setText}
