Tue Aug 22 15:35:09 2023    output.dat

         146117 function calls (141924 primitive calls) in 2.381 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.148    2.148    2.228    2.228 {built-in method matplotlib.backends._macosx.show}
     2000    0.079    0.000    0.079    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
     1000    0.035    0.000    0.125    0.000 /Users/lemerleau/Dropbox/PostDOC/Uni_courses/2023/FMI_08_IntrodutoryComputing/HomeWorks/leidhold/hw4/hw4_vectorized.py:18(simulatePI)
       51    0.012    0.000    0.012    0.000 {method 'set_message' of '_macosx.NavigationToolbar2' objects}
        1    0.009    0.009    0.009    0.009 {method 'destroy' of '_macosx.FigureManager' objects}
     1000    0.008    0.000    0.010    0.000 /Users/lemerleau/Dropbox/PostDOC/Uni_courses/2023/FMI_08_IntrodutoryComputing/HomeWorks/leidhold/hw4/hw4_vectorized.py:15(f)
        1    0.002    0.002    0.002    0.002 {built-in method set_icon}
        1    0.002    0.002    0.003    0.003 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:107(__init__)
        1    0.002    0.002    0.008    0.008 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:148(__init__)
     1303    0.002    0.000    0.002    0.000 {built-in method builtins.abs}
        1    0.002    0.002    0.002    0.002 {method '_show' of '_macosx.FigureManager' objects}
  2057/33    0.002    0.000    0.003    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/copy.py:128(deepcopy)
       64    0.002    0.000    0.009    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/ticker.py:624(format_data_short)
      893    0.002    0.000    0.002    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:194(set_children)
        1    0.001    0.001    0.001    0.001 {method 'flush_events' of '_macosx.FigureCanvas' objects}
1302/1149    0.001    0.000    0.005    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
4073/3559    0.001    0.000    0.002    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/artist.py:319(stale)
  849/845    0.001    0.000    0.024    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:291(process)
      676    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      329    0.001    0.000    0.005    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/artist.py:1180(_update_props)
     3165    0.001    0.000    0.002    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/__init__.py:725(__getitem__)
      918    0.001    0.000    0.002    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:1881(__init__)
     7931    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       25    0.001    0.000    0.001    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     1457    0.001    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:1764(__init__)
  380/208    0.001    0.000    0.003    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:2436(get_affine)
     1462    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
     4153    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     3165    0.001    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/__init__.py:674(_get)
       98    0.001    0.000    0.008    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/patches.py:742(get_patch_transform)
      511    0.001    0.000    0.002    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:2347(__init__)
     1743    0.001    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/_api/__init__.py:101(check_in_list)
       55    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.point_in_path}
      250    0.001    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:1726(normalize_kwargs)
     2329    0.001    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:110(__init__)
       55    0.001    0.000    0.015    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/backend_bases.py:1339(__init__)
      840    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
       36    0.001    0.000    0.004    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/text.py:363(_get_layout)
      714    0.001    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:1994(_setattr_cm)
        1    0.001    0.001    0.001    0.001 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:78(__init__)
       51    0.001    0.000    0.004    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/lines.py:272(__init__)
      226    0.001    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:754(__init__)
        1    0.001    0.001    0.125    0.125 /Users/lemerleau/Dropbox/PostDOC/Uni_courses/2023/FMI_08_IntrodutoryComputing/HomeWorks/leidhold/hw4/hw4_vectorized.py:46(<listcomp>)
      722    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      577    0.001    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/copy.py:66(copy)
       15    0.001    0.000    0.001    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      471    0.001    0.000    0.002    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:2503(composite_transform_factory)
      229    0.001    0.000    0.006    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/transforms.py:1467(transform)
      307    0.001    0.000    0.001    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/font_manager.py:631(__hash__)
       51    0.000    0.000    0.015    0.000 /Users/lemerleau/miniforge3/envs/fmi08icds/lib/python3.11/site-packages/matplotlib/backend_bases.py:1430(__init__)
