         1226147 function calls (1204291 primitive calls) in 10.168 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    278/1    0.002    0.000   10.169   10.169 {built-in method builtins.exec}
        1    0.000    0.000   10.168   10.168 hw4_vectorized.py:1(<module>)
        1    0.000    0.000    9.742    9.742 hw4_vectorized.py:28(main)
        1    0.000    0.000    9.567    9.567 pyplot.py:401(show)
        1    0.000    0.000    9.567    9.567 backend_bases.py:3593(show)
        1    0.000    0.000    9.563    9.563 backend_macosx.py:168(start_main_loop)
        1    9.516    9.516    9.563    9.563 {built-in method matplotlib.backends._macosx.show}
       32    0.001    0.000    0.513    0.016 __init__.py:1(<module>)
    339/4    0.001    0.000    0.433    0.108 <frozen importlib._bootstrap>:1167(_find_and_load)
    336/4    0.001    0.000    0.433    0.108 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
    318/5    0.001    0.000    0.432    0.086 <frozen importlib._bootstrap>:666(_load_unlocked)
    269/5    0.000    0.000    0.432    0.086 <frozen importlib._bootstrap_external>:934(exec_module)
    810/9    0.000    0.000    0.431    0.048 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   437/16    0.000    0.000    0.406    0.025 {built-in method builtins.__import__}
   479/75    0.001    0.000    0.377    0.005 <frozen importlib._bootstrap>:1209(_handle_fromlist)
        1    0.000    0.000    0.279    0.279 pyplot.py:1(<module>)
 1061/952    0.010    0.000    0.225    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.172    0.172 pyplot.py:2639(hist)
      100    0.000    0.000    0.170    0.002 artist.py:159(_update_set_signature_and_docstring)
       99    0.000    0.000    0.167    0.002 artist.py:126(__init_subclass__)
      112    0.000    0.000    0.132    0.001 artist.py:1841(kwdoc)
  309/202    0.000    0.000    0.132    0.001 deprecation.py:443(wrapper)
        1    0.000    0.000    0.130    0.130 figure.py:1(<module>)
        1    0.000    0.000    0.128    0.128 pyplot.py:2307(gca)
        1    0.000    0.000    0.121    0.121 colorbar.py:1(<module>)
      112    0.003    0.000    0.113    0.001 artist.py:1602(pprint_setters)
        1    0.000    0.000    0.112    0.112 pyplot.py:893(gcf)
        1    0.000    0.000    0.112    0.112 pyplot.py:691(figure)
        1    0.000    0.000    0.112    0.112 pyplot.py:381(new_figure_manager)
        1    0.000    0.000    0.106    0.106 backend_bases.py:3567(new_figure_manager)
        1    0.000    0.000    0.105    0.105 backend_bases.py:3576(new_figure_manager_given_figure)
        1    0.000    0.000    0.105    0.105 backend_bases.py:1731(new_manager)
        1    0.079    0.079    0.105    0.105 backend_bases.py:2850(create_with_canvas)
     4050    0.007    0.000    0.093    0.000 artist.py:1474(get_valid_values)
      269    0.001    0.000    0.075    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
     6795    0.042    0.000    0.065    0.000 inspect.py:867(cleandoc)
        1    0.000    0.000    0.064    0.064 contour.py:1(<module>)
        1    0.000    0.000    0.062    0.062 backend_bases.py:1(<module>)
     6764    0.003    0.000    0.061    0.000 inspect.py:848(getdoc)
        1    0.000    0.000    0.055    0.055 text.py:1(<module>)
        1    0.000    0.000    0.052    0.052 collections.py:1(<module>)
      269    0.000    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      269    0.044    0.000    0.044    0.000 {method 'read' of '_io.BufferedReader' objects}
      2/1    0.000    0.000    0.044    0.044 __init__.py:1439(inner)
        1    0.000    0.000    0.044    0.044 _axes.py:6493(hist)
      213    0.000    0.000    0.043    0.000 artist.py:1426(__init__)
        1    0.000    0.000    0.043    0.043 backend_bases.py:1219(_on_timer)
        1    0.000    0.000    0.043    0.043 backend_macosx.py:67(callback_func)
        1    0.000    0.000    0.043    0.043 backend_macosx.py:74(_draw_idle)
        1    0.000    0.000    0.043    0.043 backend_macosx.py:43(draw)
        1    0.000    0.000    0.043    0.043 backend_agg.py:392(draw)
        1    0.000    0.000    0.043    0.043 _axes.py:2238(bar)
      213    0.007    0.000    0.043    0.000 artist.py:1446(get_aliases)
        1    0.000    0.000    0.043    0.043 artist.py:93(draw_wrapper)
    198/1    0.000    0.000    0.043    0.043 artist.py:54(draw_wrapper)
        1    0.000    0.000    0.043    0.043 figure.py:3120(draw)
        1    0.000    0.000    0.042    0.042 rcsetup.py:1(<module>)
      2/1    0.000    0.000    0.042    0.042 image.py:113(_draw_list_compositing_images)
        1    0.000    0.000    0.042    0.042 _base.py:2999(draw)
        1    0.000    0.000    0.040    0.040 _axes.py:1(<module>)
        1    0.000    0.000    0.038    0.038 patches.py:1(<module>)
       99    0.000    0.000    0.034    0.000 _base.py:2371(add_patch)
        1    0.000    0.000    0.033    0.033 _base.py:1(<module>)
  318/315    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
     7896    0.003    0.000    0.029    0.000 __init__.py:272(_compile)
        2    0.000    0.000    0.028    0.014 axis.py:1368(draw)
       99    0.001    0.000    0.028    0.000 _base.py:2384(_update_patch_limits)
      213    0.010    0.000    0.028    0.000 artist.py:1521(get_setters)
        1    0.000    0.000    0.027    0.027 axes3d.py:1(<module>)
