The input is n = 1000
Your square root of 1000 is 31.622776601685473
The numpy square root of 1000 is 31.622776601683793
The error precision is  1.680433570072637e-12
All tests past.
Congratulation on achieving your first assignment.
         108332 function calls (106025 primitive calls) in 0.094 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.141    0.011 __init__.py:1(<module>)
        1    0.000    0.000    0.094    0.094 profile:0(<code object <module> at 0x0000022920DDF520, file "hw3_vectorization.py", line 1>)
    127/1    0.000    0.000    0.094    0.094 :0(exec)
        1    0.000    0.000    0.094    0.094 hw3_vectorization.py:1(<module>)
    167/3    0.000    0.000    0.094    0.031 <frozen importlib._bootstrap>:1022(_find_and_load)
    167/3    0.000    0.000    0.094    0.031 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    160/3    0.000    0.000    0.094    0.031 <frozen importlib._bootstrap>:664(_load_unlocked)
    126/3    0.000    0.000    0.094    0.031 <frozen importlib._bootstrap_external>:877(exec_module)
    243/3    0.000    0.000    0.094    0.031 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   182/16    0.000    0.000    0.078    0.005 <frozen importlib._bootstrap>:1053(_handle_fromlist)
    362/8    0.000    0.000    0.078    0.010 :0(__import__)
      164    0.000    0.000    0.047    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      149    0.000    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1422(find_spec)
      149    0.000    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1390(_get_spec)
      323    0.016    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
     1558    0.031    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.031    0.031 _distributor_init.py:1(<module>)
       37    0.000    0.000    0.031    0.001 re.py:249(compile)
      163    0.000    0.000    0.031    0.000 re.py:288(_compile)
       37    0.000    0.000    0.031    0.001 sre_compile.py:759(compile)
       37    0.000    0.000    0.031    0.001 sre_parse.py:937(parse)
    94/37    0.000    0.000    0.031    0.001 sre_parse.py:435(_parse_sub)
   101/40    0.016    0.000    0.031    0.001 sre_parse.py:493(_parse)
        1    0.000    0.000    0.031    0.031 _add_newdocs_scalars.py:1(<module>)
2125/2054    0.000    0.000    0.016    0.000 :0(join)
  160/157    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        9    0.000    0.000    0.016    0.002 enum.py:180(__new__)
        9    0.016    0.002    0.016    0.002 enum.py:222(<setcomp>)
        1    0.000    0.000    0.016    0.016 glob.py:1(<module>)
        1    0.000    0.000    0.016    0.016 fnmatch.py:1(<module>)
     1315    0.016    0.000    0.016    0.000 sre_parse.py:164(__getitem__)
       88    0.000    0.000    0.016    0.000 enum.py:359(__call__)
