
         1406614 function calls (1383283 primitive calls) in 3.797 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    319/1    0.234    0.001    3.797    3.797 :0(exec)
    10000    0.203    0.000    0.469    0.000 hw4_improved.py:16(approxPi)
    20000    0.188    0.000    0.188    0.000 :0(rand)
     6794    0.141    0.000    0.344    0.000 inspect.py:867(cleandoc)
      309    0.125    0.000    0.125    0.000 :0(open_code)
161212/159966    0.078    0.000    0.078    0.000 :0(len)
      213    0.078    0.000    0.156    0.001 artist.py:1457(<listcomp>)
    73804    0.062    0.000    0.062    0.000 :0(getattr)
    96140    0.062    0.000    0.062    0.000 :0(startswith)
    37/36    0.062    0.002    0.062    0.002 :0(create_dynamic)
    73439    0.062    0.000    0.062    0.000 :0(lstrip)
      213    0.062    0.000    0.172    0.001 artist.py:1521(get_setters)
     4050    0.062    0.000    0.516    0.000 artist.py:1474(get_valid_values)
     1564    0.047    0.000    0.047    0.000 :0(stat)
     6764    0.047    0.000    0.328    0.000 inspect.py:848(getdoc)
     6351    0.047    0.000    0.062    0.000 inspect.py:2683(__init__)
      916    0.047    0.000    0.078    0.000 inspect.py:2969(__init__)
     5304    0.047    0.000    0.156    0.000 __init__.py:173(search)
      100    0.047    0.000    0.516    0.005 hw4_improved.py:65(<listcomp>)
    20000    0.047    0.000    0.078    0.000 hw4_improved.py:13(f)
        1    0.047    0.047    0.047    0.047 :0(show)
    23905    0.031    0.000    0.031    0.000 :0(get)
      377    0.031    0.000    0.156    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
    81689    0.031    0.000    0.031    0.000 :0(isinstance)
    13190    0.031    0.000    0.031    0.000 :0(hasattr)
    40288    0.031    0.000    0.031    0.000 :0(append)
     1928    0.031    0.000    0.031    0.000 :0(replace)
     7943    0.031    0.000    0.156    0.000 __init__.py:272(_compile)
 1323/429    0.031    0.000    0.031    0.000 _parser.py:172(getwidth)
    52332    0.031    0.000    0.031    0.000 :0(min)
    21060    0.031    0.000    0.031    0.000 :0(abs)
    30443    0.031    0.000    0.031    0.000 :0(callable)
      344    0.031    0.000    0.031    0.000 inspect.py:776(_findclass)
      641    0.031    0.000    0.078    0.000 inspect.py:2331(_signature_from_function)
     2714    0.031    0.000    0.047    0.000 util.py:185(is_consecutive)
     1094    0.031    0.000    0.047    0.000 copy.py:66(copy)
     1895    0.031    0.000    0.047    0.000 colors.py:213(_is_nth_color)
      368    0.031    0.000    0.047    0.000 colors.py:307(_to_rgba_no_colorcycle)
     5854    0.031    0.000    0.047    0.000 __init__.py:725(__getitem__)
      538    0.031    0.000    0.031    0.000 :0(arange)
      213    0.031    0.000    0.312    0.001 artist.py:1446(get_aliases)
     1338    0.031    0.000    0.031    0.000 __init__.py:1994(_setattr_cm)
     2035    0.031    0.000    0.047    0.000 transforms.py:194(set_children)
        1    0.031    0.031    0.031    0.031 backend_qt.py:100(_create_qApp)
     1893    0.031    0.000    0.078    0.000 transforms.py:2503(composite_transform_factory)
      769    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     1588    0.016    0.000    0.016    0.000 :0(get_ident)
     2531    0.016    0.000    0.016    0.000 :0(rpartition)
      377    0.016    0.000    0.016    0.000 __init__.py:89(find_spec)
     7045    0.016    0.000    0.016    0.000 :0(format)
      686    0.016    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
     3341    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
15731/15718    0.016    0.000    0.016    0.000 :0(join)
      310    0.016    0.000    0.016    0.000 :0(read)
       40    0.016    0.000    2.312    0.058 __init__.py:1(<module>)
       42    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
1256/1145    0.016    0.000    1.328    0.001 :0(__build_class__)
      600    0.016    0.000    0.047    0.000 enum.py:353(__setitem__)
      664    0.016    0.000    0.016    0.000 enum.py:78(_is_private)
     6006    0.016    0.000    0.016    0.000 :0(setattr)
      545    0.016    0.000    0.016    0.000 enum.py:37(_is_descriptor)
    13386    0.016    0.000    0.016    0.000 :0(pop)
    37/32    0.016    0.000    0.016    0.000 :0(exec_dynamic)
     7773    0.016    0.000    0.016    0.000 enum.py:688(__call__)
     4271    0.016    0.000    0.016    0.000 :0(sorted)
      733    0.016    0.000    0.016    0.000 enum.py:192(__get__)
     1587    0.016    0.000    0.016    0.000 _parser.py:284(tell)
  500/214    0.016    0.000    0.062    0.000 _parser.py:507(_parse)
     5163    0.016    0.000    0.016    0.000 _parser.py:252(get)
     5217    0.016    0.000    0.016    0.000 :0(ord)
      209    0.016    0.000    0.047    0.000 _compiler.py:571(_code)
 1107/209    0.016    0.000    0.031    0.000 _compiler.py:37(_compile)
     6588    0.016    0.000    0.016    0.000 :0(__contains__)
       86    0.016    0.000    0.016    0.000 _compat_pickle.py:167(<genexpr>)
     2368    0.016    0.000    0.016    0.000 :0(copy)
     3230    0.016    0.000    0.016    0.000 :0(array)
3842/3283    0.016    0.000    0.062    0.000 :0(implement_array_function)
        1    0.016    0.016    0.016    0.016 ctypeslib.py:373(<dictcomp>)
    12014    0.016    0.000    0.016    0.000 :0(id)
  922/542    0.016    0.000    0.016    0.000 :0(hash)
      452    0.016    0.000    0.016    0.000 :0(vars)
        1    0.016    0.016    0.109    0.109 Image.py:1(<module>)
     2224    0.016    0.000    0.016    0.000 function_base.py:346(iterable)
     1689    0.016    0.000    0.016    0.000 inspect.py:378(isfunction)
      661    0.016    0.000    0.094    0.000 inspect.py:3023(from_callable)
     3090    0.016    0.000    0.016    0.000 inspect.py:3018(<genexpr>)
     7042    0.016    0.000    0.016    0.000 inspect.py:2748(kind)
        1    0.016    0.016    0.016    0.016 :0(readlines)
      842    0.016    0.000    0.031    0.000 copy.py:259(_reconstruct)
     35/5    0.016    0.000    0.031    0.006 core.py:3675(streamline)
       24    0.016    0.001    0.016    0.001 core.py:3903(_generateDefaultName)
  274/255    0.016    0.000    0.016    0.000 results.py:159(__init__)
       30    0.016    0.001    0.078    0.003 __init__.py:831(_rc_params_in_file)
     1942    0.016    0.000    0.016    0.000 :0(reduce)
     1045    0.016    0.000    0.016    0.000 colors.py:394(<genexpr>)
